t	ldf	mean	var	multiplicity
0.500000	1.405633	-29.897340	7.892078	30790.000000
1.000000	1.395989	-31.567393	11.883017	29461.000000
1.500000	1.394973	-32.622912	16.320721	28238.000000
2.000000	1.393827	-33.413740	20.992206	27079.000000
2.500000	1.395194	-34.094331	26.592654	25929.000000
3.000000	1.398368	-34.716322	32.443770	24920.000000
3.500000	1.402151	-35.336554	39.610992	23920.000000
4.000000	1.404950	-35.930868	47.381734	23034.000000
4.500000	1.409727	-36.538216	56.619704	22163.000000
5.000000	1.414597	-37.149696	67.053107	21377.000000
5.500000	1.419304	-37.739486	78.929966	20536.000000
6.000000	1.424165	-38.327976	91.758543	19755.000000
6.500000	1.428782	-38.900367	105.836436	19056.000000
7.000000	1.434255	-39.498860	121.610378	18386.000000
7.500000	1.438626	-40.076134	138.511426	17678.000000
8.000000	1.443464	-40.660196	157.121358	17060.000000
8.500000	1.448408	-41.233375	175.924333	16512.000000
9.000000	1.453114	-41.805122	196.315787	15940.000000
9.500000	1.457795	-42.377472	217.189022	15391.000000
10.000000	1.462550	-42.951429	238.147340	14855.000000
10.500000	1.467653	-43.525731	261.511201	14398.000000
11.000000	1.471778	-44.105650	286.297248	13887.000000
11.500000	1.476281	-44.685543	310.269216	13441.000000
12.000000	1.480524	-45.263478	335.256058	13023.000000
12.500000	1.485040	-45.835651	361.228744	12616.000000
13.000000	1.489496	-46.393907	387.050614	12195.000000
13.500000	1.493928	-46.945793	410.685482	11806.000000
14.000000	1.498411	-47.511149	436.984479	11431.000000
14.500000	1.502562	-48.024793	461.862108	11103.000000
15.000000	1.506837	-48.576912	485.501323	10789.000000
15.500000	1.510920	-49.112716	511.157486	10468.000000
16.000000	1.515502	-49.632436	534.263022	10167.000000
16.500000	1.519646	-50.159562	557.897047	9838.000000
17.000000	1.523344	-50.653370	583.737076	9530.000000
17.500000	1.526913	-51.133233	607.092851	9248.000000
18.000000	1.530458	-51.604097	630.405944	8984.000000
18.500000	1.534237	-52.076151	651.657964	8736.000000
19.000000	1.537372	-52.504874	670.707151	8507.000000
19.500000	1.540949	-52.927627	689.098069	8281.000000
20.000000	1.544310	-53.334772	705.184833	8080.000000
20.500000	1.547703	-53.742225	722.409578	7878.000000
21.000000	1.550471	-54.135284	740.921332	7666.000000
21.500000	1.553450	-54.521951	757.846032	7471.000000
22.000000	1.556197	-54.893805	771.429298	7293.000000
22.500000	1.559230	-55.247471	786.069191	7138.000000
23.000000	1.561910	-55.621824	804.948586	6965.000000
23.500000	1.564499	-55.932422	816.066734	6807.000000
24.000000	1.567092	-56.245178	825.491471	6664.000000
24.500000	1.569750	-56.551002	838.720753	6519.000000
25.000000	1.572193	-56.858143	850.579987	6356.000000
25.500000	1.574275	-57.140445	861.019198	6220.000000
26.000000	1.576742	-57.450959	871.964387	6080.000000
26.500000	1.578952	-57.746019	879.403628	5947.000000
27.000000	1.581077	-58.009523	885.874616	5817.000000
27.500000	1.583492	-58.287534	895.875372	5711.000000
28.000000	1.585658	-58.531890	903.258389	5600.000000
28.500000	1.587665	-58.769374	911.210294	5486.000000
29.000000	1.589879	-59.023640	916.331581	5387.000000
29.500000	1.591806	-59.245616	917.531234	5278.000000
30.000000	1.593612	-59.476495	921.228895	5179.000000
30.500000	1.595329	-59.682442	927.556169	5077.000000
31.000000	1.597067	-59.887791	931.604139	4975.000000
31.500000	1.598940	-60.104265	937.636845	4891.000000
32.000000	1.600359	-60.294555	942.761661	4804.000000
32.500000	1.601897	-60.476481	955.771712	4730.000000
33.000000	1.603541	-60.650536	958.962622	4634.000000
33.500000	1.604948	-60.829402	966.602251	4560.000000
34.000000	1.606358	-61.007162	972.023547	4486.000000
34.500000	1.607562	-61.166542	978.642351	4419.000000
35.000000	1.609057	-61.354654	984.543746	4354.000000
35.500000	1.610558	-61.528027	987.982902	4290.000000
36.000000	1.611855	-61.689756	990.264087	4222.000000
36.500000	1.612990	-61.829885	994.660042	4149.000000
37.000000	1.614284	-61.982785	994.412077	4099.000000
37.500000	1.615637	-62.134223	1002.323886	4040.000000
38.000000	1.616882	-62.289224	1008.027020	3973.000000
38.500000	1.617995	-62.424120	1007.570316	3908.000000
39.000000	1.619179	-62.568157	1008.206957	3855.000000
39.500000	1.620168	-62.704512	1014.068991	3807.000000
40.000000	1.621213	-62.842445	1017.233877	3752.000000
40.500000	1.622272	-62.963501	1022.601783	3687.000000
41.000000	1.623140	-63.084852	1030.839834	3632.000000
41.500000	1.624128	-63.215543	1034.300058	3588.000000
42.000000	1.625135	-63.326619	1040.539641	3540.000000
42.500000	1.626049	-63.433056	1048.835428	3491.000000
43.000000	1.627021	-63.535317	1051.047941	3459.000000
43.500000	1.627937	-63.644780	1052.562569	3423.000000
44.000000	1.628946	-63.754135	1056.028470	3383.000000
44.500000	1.629785	-63.857243	1057.332385	3328.000000
45.000000	1.630775	-63.968286	1058.040518	3271.000000
45.500000	1.631539	-64.082980	1062.052175	3223.000000
46.000000	1.632421	-64.177331	1066.822090	3184.000000
46.500000	1.633081	-64.275204	1068.238819	3151.000000
47.000000	1.634031	-64.368386	1077.225705	3119.000000
47.500000	1.634900	-64.461137	1074.144559	3083.000000
48.000000	1.635642	-64.546699	1075.682584	3048.000000
48.500000	1.636374	-64.642035	1072.017273	3011.000000
49.000000	1.637162	-64.733923	1077.758674	2989.000000
49.500000	1.637988	-64.819943	1074.774743	2951.000000
50.000000	1.638642	-64.887552	1078.122199	2922.000000
50.500000	1.639180	-64.967342	1077.765582	2892.000000
51.000000	1.639877	-65.040797	1085.613219	2866.000000
51.500000	1.640491	-65.116896	1084.558449	2842.000000
52.000000	1.641302	-65.186423	1089.358071	2813.000000
52.500000	1.641962	-65.240575	1091.004215	2784.000000
53.000000	1.642601	-65.306729	1096.552647	2761.000000
53.500000	1.643398	-65.403516	1097.435927	2740.000000
54.000000	1.643877	-65.471807	1101.864682	2710.000000
54.500000	1.644326	-65.544728	1102.630357	2680.000000
55.000000	1.644900	-65.590962	1110.101862	2654.000000
55.500000	1.645354	-65.655638	1109.023449	2632.000000
56.000000	1.645968	-65.710942	1108.025246	2603.000000
56.500000	1.646562	-65.775361	1105.804782	2565.000000
57.000000	1.647009	-65.817823	1108.227454	2547.000000
57.500000	1.647422	-65.862731	1107.431778	2512.000000
58.000000	1.647882	-65.913195	1111.010950	2497.000000
58.500000	1.648356	-65.975929	1116.646491	2479.000000
59.000000	1.648823	-66.023368	1122.977275	2459.000000
59.500000	1.649239	-66.077749	1121.650757	2438.000000
60.000000	1.649757	-66.131929	1123.519961	2422.000000
60.500000	1.650256	-66.190175	1122.223371	2395.000000
61.000000	1.650753	-66.257480	1127.002288	2366.000000
61.500000	1.651228	-66.303327	1122.549453	2344.000000
62.000000	1.651599	-66.344531	1127.093539	2328.000000
62.500000	1.652072	-66.408856	1133.181306	2302.000000
63.000000	1.652319	-66.451078	1132.908052	2280.000000
63.500000	1.652816	-66.491201	1130.670676	2266.000000
64.000000	1.653161	-66.546037	1129.911674	2246.000000
64.500000	1.653609	-66.603774	1135.143299	2217.000000
65.000000	1.653948	-66.645494	1133.846984	2203.000000
65.500000	1.654335	-66.685742	1134.169191	2190.000000
66.000000	1.654700	-66.725297	1135.099597	2171.000000
66.500000	1.655032	-66.765122	1140.124300	2152.000000
67.000000	1.655433	-66.809776	1141.840745	2136.000000
67.500000	1.655871	-66.857181	1139.951509	2123.000000
68.000000	1.656293	-66.896032	1142.909107	2101.000000
68.500000	1.656550	-66.953679	1143.576588	2080.000000
69.000000	1.656891	-66.987765	1147.196345	2067.000000
69.500000	1.657130	-67.044877	1154.634323	2046.000000
70.000000	1.657474	-67.097073	1158.144570	2035.000000
70.500000	1.657786	-67.126782	1157.525624	2021.000000
71.000000	1.658119	-67.172930	1158.786475	2004.000000
71.500000	1.658475	-67.216086	1160.044598	1994.000000
72.000000	1.658795	-67.263969	1158.184668	1977.000000
72.500000	1.659140	-67.295237	1157.563276	1963.000000
73.000000	1.659446	-67.335633	1158.270956	1951.000000
73.500000	1.659815	-67.366649	1157.277193	1935.000000
74.000000	1.660184	-67.407673	1152.806212	1917.000000
74.500000	1.660634	-67.451782	1153.702201	1907.000000
75.000000	1.661046	-67.489273	1154.091621	1894.000000
75.500000	1.661277	-67.533702	1160.517431	1877.000000
76.000000	1.661532	-67.574928	1156.456153	1866.000000
76.500000	1.661871	-67.613501	1163.319581	1857.000000
77.000000	1.662093	-67.644582	1166.815689	1843.000000
77.500000	1.662360	-67.670547	1162.761472	1838.000000
78.000000	1.662631	-67.687630	1157.345593	1823.000000
78.500000	1.662964	-67.720259	1154.218362	1807.000000
79.000000	1.663342	-67.762887	1154.547807	1795.000000
79.500000	1.663496	-67.783025	1149.703227	1788.000000
80.000000	1.663838	-67.817269	1153.833054	1772.000000
80.500000	1.664091	-67.846358	1154.046443	1761.000000
81.000000	1.664351	-67.879250	1152.217975	1751.000000
81.500000	1.664591	-67.915853	1152.216609	1741.000000
82.000000	1.664766	-67.943390	1150.026576	1725.000000
82.500000	1.664976	-67.963032	1152.196469	1714.000000
83.000000	1.665259	-67.991150	1151.038896	1692.000000
83.500000	1.665575	-68.012288	1153.868524	1682.000000
84.000000	1.665805	-68.041330	1152.003841	1673.000000
84.500000	1.666102	-68.057053	1156.201944	1667.000000
85.000000	1.666374	-68.089035	1159.706859	1653.000000
85.500000	1.666643	-68.120696	1161.679676	1640.000000
86.000000	1.666851	-68.141653	1160.663951	1631.000000
86.500000	1.667079	-68.174578	1160.238646	1622.000000
87.000000	1.667381	-68.201605	1161.559089	1617.000000
87.500000	1.667684	-68.234987	1158.598162	1608.000000
88.000000	1.667999	-68.268375	1156.204553	1601.000000
88.500000	1.668201	-68.284847	1155.421001	1600.000000
89.000000	1.668442	-68.306200	1154.848569	1585.000000
89.500000	1.668597	-68.323546	1152.304834	1574.000000
90.000000	1.668714	-68.346745	1155.097297	1566.000000
90.500000	1.668957	-68.365978	1150.103587	1555.000000
91.000000	1.669135	-68.388606	1148.891801	1547.000000
91.500000	1.669424	-68.417331	1143.481084	1542.000000
92.000000	1.669531	-68.426992	1141.978773	1533.000000
92.500000	1.669741	-68.456757	1147.507294	1526.000000
93.000000	1.669987	-68.488371	1151.616756	1522.000000
93.500000	1.670170	-68.516478	1148.149867	1515.000000
94.000000	1.670324	-68.559261	1148.119280	1509.000000
94.500000	1.670518	-68.582797	1148.540631	1504.000000
95.000000	1.670736	-68.589640	1150.063036	1492.000000
95.500000	1.670863	-68.604276	1147.509096	1486.000000
96.000000	1.670991	-68.618536	1149.244255	1478.000000
96.500000	1.671190	-68.643957	1149.379738	1466.000000
97.000000	1.671379	-68.662943	1144.074848	1463.000000
97.500000	1.671528	-68.695909	1144.686312	1454.000000
98.000000	1.671668	-68.710707	1148.171509	1446.000000
98.500000	1.671852	-68.743452	1139.264587	1441.000000
99.000000	1.672069	-68.763549	1140.823401	1434.000000
99.500000	1.672293	-68.783634	1143.210845	1429.000000
100.000000	1.672548	-68.807905	1141.243299	1418.000000
100.500000	1.672762	-68.822688	1144.981932	1412.000000
101.000000	1.672977	-68.846179	1143.693091	1405.000000
101.500000	1.673166	-68.867649	1140.315746	1395.000000
102.000000	1.673399	-68.892333	1146.115253	1387.000000
102.500000	1.673596	-68.912432	1147.087296	1379.000000
103.000000	1.673816	-68.934439	1151.632973	1375.000000
103.500000	1.674014	-68.960573	1155.870970	1367.000000
104.000000	1.674196	-68.976699	1157.207462	1356.000000
104.500000	1.674352	-68.999743	1163.371696	1350.000000
105.000000	1.674559	-69.007216	1158.232865	1341.000000
105.500000	1.674741	-69.028858	1159.155666	1338.000000
106.000000	1.674963	-69.052738	1156.465767	1329.000000
106.500000	1.675089	-69.082580	1157.209627	1321.000000
107.000000	1.675208	-69.104989	1158.529946	1310.000000
107.500000	1.675257	-69.120423	1165.043324	1304.000000
108.000000	1.675351	-69.150533	1164.700101	1296.000000
108.500000	1.675490	-69.156616	1163.957068	1286.000000
109.000000	1.675700	-69.172740	1168.170275	1284.000000
109.500000	1.675866	-69.197198	1173.133311	1275.000000
110.000000	1.676024	-69.226293	1181.920326	1264.000000
110.500000	1.676189	-69.250754	1184.922816	1255.000000
111.000000	1.676361	-69.270378	1187.955207	1249.000000
111.500000	1.676481	-69.275945	1188.311702	1241.000000
112.000000	1.676640	-69.294640	1188.451313	1235.000000
112.500000	1.676764	-69.314294	1188.486189	1231.000000
113.000000	1.676982	-69.332339	1193.485213	1228.000000
113.500000	1.677095	-69.348160	1191.984440	1220.000000
114.000000	1.677306	-69.361866	1191.982075	1213.000000
114.500000	1.677401	-69.379955	1196.393619	1209.000000
115.000000	1.677528	-69.389520	1203.901005	1206.000000
115.500000	1.677606	-69.403149	1204.871746	1202.000000
116.000000	1.677755	-69.432396	1198.877618	1195.000000
116.500000	1.677932	-69.452442	1195.969028	1187.000000
117.000000	1.678007	-69.455902	1198.724766	1184.000000
117.500000	1.678184	-69.469309	1194.709121	1180.000000
118.000000	1.678328	-69.485422	1191.838024	1175.000000
118.500000	1.678463	-69.502676	1192.427432	1169.000000
119.000000	1.678632	-69.515442	1190.997596	1161.000000
119.500000	1.678733	-69.518400	1191.039344	1157.000000
120.000000	1.678873	-69.534094	1189.974029	1153.000000
120.500000	1.679057	-69.549965	1190.393514	1146.000000
121.000000	1.679183	-69.577811	1195.024869	1143.000000
121.500000	1.679265	-69.596365	1195.355346	1140.000000
122.000000	1.679399	-69.607137	1196.291074	1131.000000
122.500000	1.679583	-69.624560	1196.882882	1124.000000
123.000000	1.679660	-69.639065	1197.185054	1119.000000
123.500000	1.679812	-69.656847	1200.586068	1118.000000
124.000000	1.679886	-69.669432	1196.452411	1110.000000
124.500000	1.679994	-69.684115	1198.160726	1106.000000
125.000000	1.680123	-69.689609	1196.072163	1102.000000
125.500000	1.680212	-69.696155	1198.194899	1098.000000
126.000000	1.680374	-69.710482	1194.401589	1094.000000
126.500000	1.680479	-69.716492	1193.024033	1088.000000
127.000000	1.680553	-69.735409	1187.948302	1083.000000
127.500000	1.680673	-69.755562	1192.079885	1080.000000
128.000000	1.680721	-69.776805	1190.485379	1077.000000
128.500000	1.680850	-69.795262	1188.636600	1073.000000
129.000000	1.680995	-69.813650	1189.396860	1068.000000
129.500000	1.681132	-69.822088	1187.726943	1062.000000
130.000000	1.681319	-69.826114	1193.915131	1057.000000
130.500000	1.681440	-69.836891	1191.712782	1051.000000
131.000000	1.681545	-69.848842	1192.641200	1050.000000
131.500000	1.681638	-69.857999	1188.694946	1043.000000
132.000000	1.681723	-69.877427	1179.953478	1042.000000
132.500000	1.681821	-69.885411	1178.437068	1040.000000
133.000000	1.681933	-69.891202	1177.163661	1038.000000
133.500000	1.682004	-69.895252	1178.088006	1031.000000
134.000000	1.682063	-69.901450	1173.471052	1024.000000
134.500000	1.682124	-69.897545	1176.271941	1019.000000
135.000000	1.682224	-69.914268	1181.682287	1015.000000
135.500000	1.682251	-69.928113	1182.763196	1012.000000
136.000000	1.682354	-69.933583	1183.521711	1010.000000
136.500000	1.682447	-69.938144	1186.571031	1008.000000
137.000000	1.682536	-69.949964	1184.320512	1006.000000
137.500000	1.682617	-69.965791	1191.411537	1003.000000
138.000000	1.682690	-69.975082	1193.593698	1001.000000
138.500000	1.682697	-69.989858	1190.286330	995.000000
139.000000	1.682774	-69.991208	1195.869738	992.000000
139.500000	1.682928	-70.002891	1200.429706	990.000000
140.000000	1.683009	-70.010651	1203.495991	986.000000
140.500000	1.683068	-70.013734	1209.619081	981.000000
141.000000	1.683133	-70.019842	1212.436535	977.000000
141.500000	1.683247	-70.031120	1214.527073	974.000000
142.000000	1.683317	-70.045772	1214.421879	972.000000
142.500000	1.683413	-70.059649	1209.332485	972.000000
143.000000	1.683436	-70.076962	1212.642241	969.000000
143.500000	1.683529	-70.093166	1217.692439	967.000000
144.000000	1.683653	-70.096979	1216.242190	962.000000
144.500000	1.683705	-70.108633	1218.055126	960.000000
145.000000	1.683803	-70.115369	1222.189939	957.000000
145.500000	1.683857	-70.127375	1226.640414	951.000000
146.000000	1.683895	-70.131162	1235.366781	950.000000
146.500000	1.683999	-70.134456	1234.739723	948.000000
147.000000	1.684107	-70.145750	1234.984103	945.000000
147.500000	1.684170	-70.149126	1229.841051	945.000000
148.000000	1.684251	-70.157350	1222.367595	939.000000
148.500000	1.684321	-70.168820	1224.609295	937.000000
149.000000	1.684408	-70.187755	1226.988849	935.000000
149.500000	1.684456	-70.195867	1228.869647	934.000000
150.000000	1.684586	-70.209773	1231.638448	930.000000
150.500000	1.684704	-70.220344	1225.190939	927.000000
151.000000	1.684837	-70.223957	1226.074776	922.000000
151.500000	1.684884	-70.223441	1223.610626	915.000000
152.000000	1.684987	-70.229859	1222.228331	914.000000
152.500000	1.685096	-70.226848	1223.088511	910.000000
153.000000	1.685086	-70.236885	1225.714253	908.000000
153.500000	1.685097	-70.237440	1230.078080	905.000000
154.000000	1.685131	-70.248205	1234.263094	902.000000
154.500000	1.685169	-70.254189	1236.612834	898.000000
155.000000	1.685235	-70.261738	1234.722586	895.000000
155.500000	1.685312	-70.270286	1230.327139	893.000000
156.000000	1.685408	-70.279625	1233.874040	889.000000
156.500000	1.685492	-70.273479	1227.703916	888.000000
157.000000	1.685581	-70.287802	1229.544957	886.000000
157.500000	1.685641	-70.297857	1229.671135	883.000000
158.000000	1.685714	-70.299883	1228.892145	883.000000
158.500000	1.685812	-70.311305	1231.461074	882.000000
159.000000	1.685855	-70.316459	1237.477421	877.000000
159.500000	1.685905	-70.313472	1238.725660	876.000000
160.000000	1.685953	-70.327942	1238.435416	871.000000
160.500000	1.686006	-70.332972	1236.332738	871.000000
161.000000	1.686017	-70.339477	1235.014285	870.000000
161.500000	1.686109	-70.352776	1233.001443	868.000000
162.000000	1.686139	-70.363546	1237.169704	864.000000
162.500000	1.686230	-70.379654	1240.368427	862.000000
163.000000	1.686312	-70.379090	1239.168675	861.000000
163.500000	1.686396	-70.380184	1241.298721	858.000000
164.000000	1.686513	-70.404817	1237.547954	857.000000
164.500000	1.686576	-70.416773	1235.285420	855.000000
165.000000	1.686683	-70.425473	1234.993303	853.000000
165.500000	1.686701	-70.428147	1231.990050	852.000000
166.000000	1.686775	-70.440994	1238.062361	848.000000
166.500000	1.686797	-70.437981	1241.267192	848.000000
167.000000	1.686868	-70.443948	1241.801875	846.000000
167.500000	1.686936	-70.460465	1247.196100	842.000000
168.000000	1.687053	-70.475064	1245.825001	840.000000
168.500000	1.687123	-70.482379	1245.074281	839.000000
169.000000	1.687194	-70.486296	1242.036086	839.000000
169.500000	1.687278	-70.485593	1239.806778	838.000000
170.000000	1.687337	-70.496889	1240.638833	834.000000
170.500000	1.687349	-70.502825	1242.982951	831.000000
171.000000	1.687419	-70.511600	1244.356072	828.000000
171.500000	1.687464	-70.520022	1239.971631	826.000000
172.000000	1.687524	-70.514333	1232.562660	822.000000
172.500000	1.687605	-70.521583	1229.792237	820.000000
173.000000	1.687660	-70.520390	1234.274288	819.000000
173.500000	1.687719	-70.531828	1236.584402	817.000000
174.000000	1.687762	-70.538318	1237.736803	816.000000
174.500000	1.687836	-70.550239	1240.051312	814.000000
175.000000	1.687871	-70.553722	1239.127475	804.000000
175.500000	1.687940	-70.553692	1240.368735	803.000000
176.000000	1.688027	-70.555223	1242.587864	802.000000
176.500000	1.688156	-70.568306	1239.374794	800.000000
177.000000	1.688254	-70.570979	1241.512473	799.000000
177.500000	1.688341	-70.579236	1239.717315	798.000000
178.000000	1.688393	-70.577838	1239.454587	797.000000
178.500000	1.688433	-70.587236	1241.893847	794.000000
