t	ldf	mean	var	multiplicity
0.500000	1.178088	-29.604762	7.626735	305304.000000
1.000000	1.211475	-30.530553	12.208369	292969.000000
1.500000	1.226446	-30.984801	16.262724	280620.000000
2.000000	1.232481	-31.214165	20.396151	268469.000000
2.500000	1.235223	-31.368500	24.784343	256800.000000
3.000000	1.236461	-31.486163	29.457869	245489.000000
3.500000	1.236716	-31.587703	34.472001	234562.000000
4.000000	1.235666	-31.660213	39.829582	224109.000000
4.500000	1.234360	-31.734140	45.551987	213934.000000
5.000000	1.233374	-31.815437	51.822049	204250.000000
5.500000	1.232055	-31.897788	58.399146	194995.000000
6.000000	1.230711	-31.984093	65.539189	186063.000000
6.500000	1.229262	-32.076426	73.206978	177282.000000
7.000000	1.227964	-32.176123	81.484444	169069.000000
7.500000	1.227089	-32.297521	90.668727	161063.000000
8.000000	1.225932	-32.420711	100.496959	153364.000000
8.500000	1.225084	-32.558846	111.113433	145794.000000
9.000000	1.224255	-32.709622	122.926099	138595.000000
9.500000	1.223672	-32.876215	135.967399	131634.000000
10.000000	1.223358	-33.060056	149.806058	124899.000000
10.500000	1.223212	-33.256106	164.559340	118318.000000
11.000000	1.223233	-33.464085	180.754932	112093.000000
11.500000	1.223560	-33.700100	198.286477	105803.000000
12.000000	1.223973	-33.942689	216.880843	99881.000000
12.500000	1.224555	-34.203195	236.423758	94023.000000
13.000000	1.225286	-34.475406	257.176539	88587.000000
13.500000	1.226146	-34.762822	279.086034	83355.000000
14.000000	1.227201	-35.069894	301.821766	78163.000000
14.500000	1.228440	-35.384713	325.419127	73273.000000
15.000000	1.229971	-35.724104	349.648048	68560.000000
15.500000	1.231722	-36.080723	374.947108	64147.000000
16.000000	1.233566	-36.442224	400.042115	59859.000000
16.500000	1.235687	-36.821565	425.002378	55770.000000
17.000000	1.237904	-37.210078	450.401976	51868.000000
17.500000	1.240312	-37.610383	474.819370	48219.000000
18.000000	1.242860	-38.025442	499.082653	44695.000000
18.500000	1.245591	-38.445884	522.070011	41311.000000
19.000000	1.248530	-38.875115	543.579984	38077.000000
19.500000	1.251514	-39.300441	563.487599	35078.000000
20.000000	1.254683	-39.734457	583.724373	32288.000000
20.500000	1.257913	-40.170058	603.433970	29666.000000
21.000000	1.261335	-40.614551	621.740333	27109.000000
21.500000	1.264777	-41.050613	639.838086	24866.000000
22.000000	1.268265	-41.492014	656.980931	22782.000000
22.500000	1.271881	-41.930563	672.909852	20819.000000
23.000000	1.275690	-42.377850	688.106371	18975.000000
23.500000	1.279433	-42.818909	702.605049	17321.000000
24.000000	1.283424	-43.265969	716.197317	15826.000000
24.500000	1.287374	-43.702228	729.276783	14442.000000
25.000000	1.291327	-44.133783	741.972302	13123.000000
25.500000	1.295323	-44.560630	752.396998	12000.000000
26.000000	1.299514	-44.989258	761.883434	10956.000000
26.500000	1.303584	-45.410418	770.046405	9969.000000
27.000000	1.307671	-45.828992	775.529998	9066.000000
27.500000	1.311833	-46.239983	781.280060	8209.000000
28.000000	1.315944	-46.635213	785.516199	7454.000000
28.500000	1.320137	-47.036648	788.016024	6794.000000
29.000000	1.324329	-47.428941	789.566271	6201.000000
29.500000	1.328454	-47.805422	789.985837	5647.000000
30.000000	1.332611	-48.180655	790.176636	5157.000000
30.500000	1.336761	-48.551394	789.478644	4704.000000
31.000000	1.340832	-48.918186	786.598978	4288.000000
31.500000	1.344876	-49.270143	783.211689	3923.000000
32.000000	1.348883	-49.608196	781.647952	3618.000000
32.500000	1.352795	-49.948241	778.361489	3294.000000
33.000000	1.356704	-50.273381	775.482039	3035.000000
33.500000	1.360587	-50.595555	771.766248	2793.000000
34.000000	1.364442	-50.910804	768.486915	2577.000000
34.500000	1.368241	-51.216631	764.374940	2347.000000
35.000000	1.372030	-51.515855	757.721304	2125.000000
35.500000	1.375833	-51.807743	751.087867	1963.000000
36.000000	1.379509	-52.089618	746.471161	1815.000000
36.500000	1.383176	-52.365986	741.872006	1664.000000
37.000000	1.386816	-52.630394	737.332796	1542.000000
37.500000	1.390394	-52.891442	732.555435	1406.000000
38.000000	1.393870	-53.145041	729.460310	1294.000000
38.500000	1.397362	-53.394579	725.256477	1201.000000
39.000000	1.400809	-53.635221	723.145426	1128.000000
39.500000	1.404256	-53.875729	719.794049	1047.000000
40.000000	1.407630	-54.104353	719.120430	973.000000
40.500000	1.410946	-54.330031	719.149244	892.000000
41.000000	1.414244	-54.560739	718.916301	837.000000
41.500000	1.417435	-54.780707	720.279081	773.000000
42.000000	1.420623	-54.995013	722.866783	724.000000
42.500000	1.423746	-55.208223	727.450858	684.000000
43.000000	1.426876	-55.421174	731.200338	644.000000
43.500000	1.429970	-55.633789	737.187736	611.000000
44.000000	1.432986	-55.843235	744.327664	580.000000
44.500000	1.435953	-56.056754	751.728847	543.000000
45.000000	1.438800	-56.266309	758.263469	508.000000
45.500000	1.441602	-56.470998	765.394918	474.000000
46.000000	1.444401	-56.679659	772.690473	446.000000
46.500000	1.447202	-56.885807	780.779453	425.000000
47.000000	1.449953	-57.095166	786.950430	395.000000
47.500000	1.452650	-57.298015	792.435528	373.000000
48.000000	1.455312	-57.494215	795.471385	348.000000
48.500000	1.457905	-57.689345	796.609450	329.000000
