t	ldf	mean	var	multiplicity
0.500000	-0.290266	0.000000	0.000000	31997.000000
1.000000	-0.288262	0.000000	0.000000	31993.000000
1.500000	-0.286306	-0.000426	0.000573	31970.000000
2.000000	-0.284729	-0.003771	0.003055	31924.000000
2.500000	-0.283781	-0.011698	0.011603	31823.000000
3.000000	-0.283556	-0.024999	0.028391	31646.000000
3.500000	-0.283845	-0.041855	0.054788	31350.000000
4.000000	-0.284538	-0.061588	0.091559	30977.000000
4.500000	-0.285880	-0.084731	0.135278	30527.000000
5.000000	-0.287121	-0.107956	0.184574	29990.000000
5.500000	-0.288911	-0.133307	0.239364	29416.000000
6.000000	-0.290543	-0.157248	0.297524	28794.000000
6.500000	-0.292425	-0.181607	0.358921	28149.000000
7.000000	-0.293996	-0.204622	0.419726	27518.000000
7.500000	-0.295651	-0.227439	0.484257	26883.000000
8.000000	-0.297193	-0.248799	0.552415	26268.000000
8.500000	-0.298531	-0.268314	0.612892	25620.000000
9.000000	-0.299911	-0.287287	0.668523	24988.000000
9.500000	-0.301259	-0.305723	0.726693	24375.000000
10.000000	-0.302468	-0.323842	0.790283	23800.000000
10.500000	-0.303730	-0.340734	0.845841	23196.000000
11.000000	-0.304905	-0.356313	0.906063	22596.000000
11.500000	-0.306035	-0.371935	0.957582	22038.000000
12.000000	-0.307035	-0.386768	1.017115	21503.000000
12.500000	-0.308018	-0.401062	1.072367	21004.000000
13.000000	-0.308913	-0.414559	1.125453	20526.000000
13.500000	-0.309793	-0.427150	1.163668	20029.000000
14.000000	-0.310560	-0.439417	1.207503	19565.000000
14.500000	-0.311318	-0.450642	1.252610	19121.000000
15.000000	-0.311981	-0.462217	1.297733	18706.000000
15.500000	-0.312759	-0.473200	1.340257	18290.000000
16.000000	-0.313490	-0.483472	1.374476	17904.000000
16.500000	-0.314119	-0.493310	1.420368	17551.000000
17.000000	-0.314636	-0.502163	1.448703	17178.000000
17.500000	-0.315124	-0.511294	1.485934	16821.000000
18.000000	-0.315521	-0.519681	1.516091	16445.000000
18.500000	-0.315960	-0.528077	1.547895	16111.000000
19.000000	-0.316360	-0.535758	1.576434	15781.000000
19.500000	-0.316777	-0.543349	1.607626	15478.000000
20.000000	-0.317211	-0.550304	1.629475	15182.000000
20.500000	-0.317444	-0.556925	1.663693	14899.000000
21.000000	-0.317766	-0.564372	1.700621	14616.000000
21.500000	-0.318062	-0.570735	1.736263	14337.000000
22.000000	-0.318346	-0.576827	1.769841	14094.000000
22.500000	-0.318644	-0.583447	1.793808	13849.000000
23.000000	-0.318935	-0.589028	1.817127	13603.000000
23.500000	-0.319198	-0.594394	1.845686	13363.000000
24.000000	-0.319374	-0.600093	1.876677	13150.000000
24.500000	-0.319475	-0.605130	1.900995	12962.000000
25.000000	-0.319666	-0.610050	1.927143	12756.000000
25.500000	-0.319856	-0.615020	1.951823	12527.000000
26.000000	-0.320045	-0.619786	1.963246	12330.000000
26.500000	-0.320226	-0.624725	1.979636	12145.000000
27.000000	-0.320373	-0.629579	1.993263	11961.000000
27.500000	-0.320604	-0.634326	2.015512	11767.000000
28.000000	-0.320750	-0.638133	2.030987	11574.000000
28.500000	-0.320840	-0.641590	2.049070	11404.000000
29.000000	-0.320938	-0.645596	2.063640	11225.000000
29.500000	-0.321049	-0.649974	2.080001	11082.000000
30.000000	-0.321166	-0.653798	2.095154	10901.000000
30.500000	-0.321233	-0.657819	2.108897	10746.000000
31.000000	-0.321325	-0.661155	2.125224	10580.000000
31.500000	-0.321407	-0.664129	2.149198	10443.000000
32.000000	-0.321427	-0.667419	2.159673	10286.000000
32.500000	-0.321521	-0.671069	2.179294	10152.000000
33.000000	-0.321561	-0.674135	2.196017	10019.000000
33.500000	-0.321613	-0.677096	2.218455	9876.000000
34.000000	-0.321722	-0.680563	2.231919	9749.000000
34.500000	-0.321711	-0.683735	2.244716	9613.000000
35.000000	-0.321706	-0.686571	2.265090	9496.000000
35.500000	-0.321752	-0.689174	2.271842	9372.000000
36.000000	-0.321860	-0.692099	2.288505	9267.000000
36.500000	-0.321893	-0.694463	2.310383	9166.000000
37.000000	-0.321914	-0.696986	2.338693	9050.000000
37.500000	-0.321985	-0.699466	2.352172	8938.000000
38.000000	-0.321956	-0.702313	2.367682	8832.000000
38.500000	-0.322012	-0.704784	2.378553	8724.000000
39.000000	-0.322025	-0.706982	2.391450	8628.000000
39.500000	-0.322032	-0.709477	2.400125	8520.000000
40.000000	-0.322025	-0.711276	2.406438	8421.000000
40.500000	-0.322057	-0.713135	2.425690	8313.000000
41.000000	-0.322130	-0.715887	2.440359	8209.000000
41.500000	-0.322131	-0.717786	2.445606	8130.000000
42.000000	-0.322160	-0.719768	2.445295	8035.000000
42.500000	-0.322186	-0.721626	2.455180	7938.000000
43.000000	-0.322168	-0.723203	2.467743	7856.000000
43.500000	-0.322209	-0.724472	2.480461	7770.000000
44.000000	-0.322218	-0.726527	2.486394	7689.000000
44.500000	-0.322237	-0.728748	2.492728	7633.000000
45.000000	-0.322256	-0.730717	2.506790	7552.000000
45.500000	-0.322314	-0.732666	2.528324	7470.000000
46.000000	-0.322333	-0.734343	2.536697	7395.000000
46.500000	-0.322359	-0.736128	2.554281	7310.000000
47.000000	-0.322376	-0.738124	2.552155	7225.000000
47.500000	-0.322386	-0.740015	2.558766	7141.000000
48.000000	-0.322425	-0.742526	2.569895	7071.000000
48.500000	-0.322487	-0.744368	2.571675	7003.000000
49.000000	-0.322494	-0.745785	2.577416	6930.000000
49.500000	-0.322478	-0.747326	2.580003	6860.000000
50.000000	-0.322473	-0.749538	2.594225	6794.000000
50.500000	-0.322489	-0.751530	2.601603	6726.000000
51.000000	-0.322497	-0.753004	2.610705	6661.000000
51.500000	-0.322489	-0.754728	2.612784	6600.000000
52.000000	-0.322471	-0.756690	2.626085	6524.000000
52.500000	-0.322500	-0.758413	2.631476	6456.000000
53.000000	-0.322504	-0.760110	2.643390	6404.000000
53.500000	-0.322491	-0.761643	2.664948	6345.000000
54.000000	-0.322491	-0.763314	2.678963	6287.000000
54.500000	-0.322495	-0.765441	2.689320	6231.000000
55.000000	-0.322497	-0.766370	2.691554	6173.000000
55.500000	-0.322507	-0.767583	2.693873	6120.000000
56.000000	-0.322485	-0.768996	2.706288	6067.000000
