t	ldf	mean	var	multiplicity
0.500000	0.000000	0.000000	0.000000	320000.000000
1.000000	-0.000001	-0.000003	0.000000	319999.000000
1.500000	-0.000110	-0.000515	0.000242	319939.000000
2.000000	-0.000925	-0.004319	0.003480	319426.000000
2.500000	-0.002980	-0.013538	0.013400	317693.000000
3.000000	-0.006465	-0.028773	0.033576	314225.000000
3.500000	-0.011244	-0.048988	0.065164	308867.000000
4.000000	-0.017020	-0.072769	0.107005	301885.000000
4.500000	-0.023514	-0.099340	0.158120	293728.000000
5.000000	-0.030401	-0.126580	0.217636	284535.000000
5.500000	-0.037517	-0.154255	0.281578	274876.000000
6.000000	-0.044623	-0.181417	0.348373	264956.000000
6.500000	-0.051669	-0.207964	0.416970	254995.000000
7.000000	-0.058586	-0.233512	0.485734	245101.000000
7.500000	-0.065379	-0.258679	0.554880	235493.000000
8.000000	-0.071999	-0.282763	0.624901	226187.000000
8.500000	-0.078329	-0.305564	0.694425	217317.000000
9.000000	-0.084459	-0.326854	0.762615	208690.000000
9.500000	-0.090376	-0.347531	0.831410	200452.000000
10.000000	-0.095944	-0.366627	0.896469	192504.000000
10.500000	-0.101295	-0.385144	0.959071	185123.000000
11.000000	-0.106449	-0.402587	1.021631	178051.000000
11.500000	-0.111384	-0.419069	1.081141	171318.000000
12.000000	-0.116113	-0.435145	1.138052	164961.000000
12.500000	-0.120643	-0.450142	1.193785	158925.000000
13.000000	-0.124979	-0.464325	1.249880	153198.000000
13.500000	-0.129152	-0.478012	1.299390	147784.000000
14.000000	-0.133187	-0.490931	1.349963	142679.000000
14.500000	-0.136993	-0.503164	1.397357	137793.000000
15.000000	-0.140712	-0.515155	1.442877	133254.000000
15.500000	-0.144275	-0.526309	1.487827	128847.000000
16.000000	-0.147700	-0.537191	1.533563	124752.000000
16.500000	-0.150993	-0.547245	1.574133	120867.000000
17.000000	-0.154185	-0.556854	1.610042	117044.000000
17.500000	-0.157230	-0.566268	1.654692	113511.000000
18.000000	-0.160179	-0.575157	1.692411	110062.000000
18.500000	-0.163053	-0.583765	1.729421	106805.000000
19.000000	-0.165779	-0.591615	1.765577	103691.000000
19.500000	-0.168435	-0.599518	1.800946	100717.000000
20.000000	-0.170967	-0.606655	1.834515	97940.000000
20.500000	-0.173419	-0.614025	1.865362	95286.000000
21.000000	-0.175830	-0.621297	1.895671	92729.000000
21.500000	-0.178174	-0.628048	1.925518	90262.000000
22.000000	-0.180430	-0.634677	1.954969	87882.000000
22.500000	-0.182588	-0.641047	1.983195	85637.000000
23.000000	-0.184714	-0.647105	2.011988	83476.000000
23.500000	-0.186774	-0.652632	2.037343	81336.000000
24.000000	-0.188753	-0.658514	2.068160	79321.000000
24.500000	-0.190685	-0.664058	2.097043	77423.000000
25.000000	-0.192528	-0.669257	2.117739	75665.000000
25.500000	-0.194334	-0.674080	2.139329	73903.000000
26.000000	-0.196093	-0.678979	2.162621	72211.000000
26.500000	-0.197814	-0.683520	2.186139	70500.000000
27.000000	-0.199500	-0.687967	2.210029	68899.000000
27.500000	-0.201111	-0.692161	2.233793	67323.000000
28.000000	-0.202688	-0.696471	2.258289	65915.000000
28.500000	-0.204238	-0.700871	2.279525	64520.000000
29.000000	-0.205731	-0.704796	2.298614	63139.000000
29.500000	-0.207185	-0.708785	2.321708	61849.000000
30.000000	-0.208577	-0.712569	2.340462	60573.000000
30.500000	-0.209941	-0.715904	2.356139	59299.000000
31.000000	-0.211257	-0.719299	2.372827	58049.000000
31.500000	-0.212551	-0.722755	2.393903	56881.000000
32.000000	-0.213815	-0.726065	2.412299	55747.000000
32.500000	-0.215063	-0.729317	2.432260	54738.000000
33.000000	-0.216279	-0.732102	2.442312	53663.000000
33.500000	-0.217459	-0.735308	2.461416	52667.000000
34.000000	-0.218606	-0.738188	2.477665	51678.000000
34.500000	-0.219733	-0.740856	2.490919	50694.000000
35.000000	-0.220833	-0.743672	2.504583	49760.000000
35.500000	-0.221917	-0.746446	2.515351	48847.000000
36.000000	-0.222976	-0.749004	2.528055	48008.000000
36.500000	-0.224010	-0.751237	2.537479	47173.000000
37.000000	-0.225034	-0.753810	2.548548	46347.000000
37.500000	-0.226019	-0.756175	2.560482	45585.000000
38.000000	-0.226996	-0.758666	2.569971	44789.000000
38.500000	-0.227955	-0.760976	2.583802	44032.000000
39.000000	-0.228892	-0.763421	2.599400	43320.000000
39.500000	-0.229793	-0.765926	2.615931	42619.000000
40.000000	-0.230685	-0.768184	2.625294	41932.000000
40.500000	-0.231543	-0.770148	2.635684	41306.000000
41.000000	-0.232403	-0.772137	2.653763	40623.000000
41.500000	-0.233244	-0.774115	2.661358	39925.000000
42.000000	-0.234076	-0.776211	2.665772	39310.000000
42.500000	-0.234875	-0.778148	2.674426	38701.000000
43.000000	-0.235672	-0.780078	2.683950	38156.000000
43.500000	-0.236450	-0.781541	2.697364	37563.000000
44.000000	-0.237212	-0.783285	2.707133	37051.000000
44.500000	-0.237941	-0.784984	2.716848	36493.000000
45.000000	-0.238665	-0.786842	2.727644	35963.000000
45.500000	-0.239370	-0.788525	2.734552	35481.000000
46.000000	-0.240065	-0.790208	2.751707	34995.000000
46.500000	-0.240753	-0.791413	2.755766	34513.000000
47.000000	-0.241445	-0.792995	2.763801	34047.000000
47.500000	-0.242106	-0.794517	2.770292	33593.000000
48.000000	-0.242772	-0.796049	2.780168	33133.000000
48.500000	-0.243423	-0.797775	2.786906	32692.000000
49.000000	-0.244062	-0.799501	2.798645	32275.000000
49.500000	-0.244680	-0.800668	2.807174	31872.000000
50.000000	-0.245286	-0.802261	2.820134	31455.000000
50.500000	-0.245887	-0.803605	2.826034	31032.000000
51.000000	-0.246482	-0.804894	2.836480	30631.000000
51.500000	-0.247076	-0.806021	2.844479	30224.000000
52.000000	-0.247651	-0.807404	2.854398	29837.000000
52.500000	-0.248210	-0.808704	2.860618	29436.000000
53.000000	-0.248765	-0.809935	2.863761	29078.000000
53.500000	-0.249310	-0.811215	2.872247	28751.000000
54.000000	-0.249850	-0.812591	2.883248	28425.000000
54.500000	-0.250376	-0.813398	2.889329	28071.000000
55.000000	-0.250906	-0.814454	2.896547	27718.000000
55.500000	-0.251417	-0.815816	2.903837	27401.000000
56.000000	-0.251927	-0.816874	2.907643	27081.000000
56.500000	-0.252428	-0.817919	2.908978	26776.000000
57.000000	-0.252932	-0.818846	2.919904	26457.000000
57.500000	-0.253422	-0.819847	2.922032	26140.000000
58.000000	-0.253915	-0.820972	2.925069	25830.000000
58.500000	-0.254383	-0.821929	2.934497	25547.000000
59.000000	-0.254842	-0.822822	2.943296	25272.000000
59.500000	-0.255301	-0.823866	2.949794	24958.000000
60.000000	-0.255743	-0.824842	2.955043	24671.000000
60.500000	-0.256174	-0.825628	2.959468	24387.000000
61.000000	-0.256615	-0.826716	2.962425	24121.000000
61.500000	-0.257043	-0.827543	2.967984	23871.000000
62.000000	-0.257465	-0.828703	2.970534	23612.000000
62.500000	-0.257883	-0.829665	2.976403	23345.000000
63.000000	-0.258284	-0.830598	2.985866	23103.000000
63.500000	-0.258691	-0.831376	2.995209	22862.000000
64.000000	-0.259094	-0.832324	3.001410	22629.000000
64.500000	-0.259482	-0.833001	3.006953	22395.000000
65.000000	-0.259867	-0.833939	3.010981	22163.000000
65.500000	-0.260253	-0.834769	3.016037	21925.000000
66.000000	-0.260631	-0.835433	3.018347	21699.000000
66.500000	-0.261003	-0.836104	3.023386	21488.000000
67.000000	-0.261361	-0.836812	3.032834	21277.000000
67.500000	-0.261720	-0.837551	3.039014	21062.000000
68.000000	-0.262070	-0.838059	3.043324	20835.000000
68.500000	-0.262423	-0.838908	3.051424	20648.000000
69.000000	-0.262759	-0.839699	3.053732	20461.000000
69.500000	-0.263107	-0.840469	3.057537	20264.000000
70.000000	-0.263443	-0.841139	3.058784	20082.000000
70.500000	-0.263781	-0.841822	3.061613	19894.000000
71.000000	-0.264103	-0.842344	3.071129	19696.000000
71.500000	-0.264434	-0.842803	3.070711	19509.000000
72.000000	-0.264769	-0.843345	3.078186	19307.000000
72.500000	-0.265091	-0.844090	3.079825	19113.000000
73.000000	-0.265415	-0.844884	3.086246	18929.000000
73.500000	-0.265736	-0.845486	3.085781	18762.000000
74.000000	-0.266049	-0.846302	3.086512	18593.000000
74.500000	-0.266353	-0.846951	3.090709	18420.000000
75.000000	-0.266658	-0.847517	3.090772	18250.000000
75.500000	-0.266966	-0.848394	3.098340	18081.000000
76.000000	-0.267263	-0.849243	3.104330	17929.000000
76.500000	-0.267556	-0.849743	3.107496	17768.000000
77.000000	-0.267846	-0.850461	3.109458	17606.000000
77.500000	-0.268136	-0.851027	3.111011	17453.000000
78.000000	-0.268421	-0.851676	3.112239	17300.000000
78.500000	-0.268705	-0.852138	3.114789	17154.000000
79.000000	-0.268979	-0.852669	3.115934	16995.000000
79.500000	-0.269259	-0.853155	3.114176	16864.000000
80.000000	-0.269537	-0.853628	3.115732	16706.000000
80.500000	-0.269805	-0.854392	3.117095	16570.000000
81.000000	-0.270069	-0.854997	3.118672	16423.000000
81.500000	-0.270332	-0.855821	3.122073	16270.000000
82.000000	-0.270597	-0.856340	3.125805	16128.000000
82.500000	-0.270846	-0.856930	3.126653	16001.000000
83.000000	-0.271099	-0.857687	3.130301	15879.000000
83.500000	-0.271350	-0.858264	3.134113	15756.000000
